OriginPage	LinkToPage	LinkToPageStatus	LinkToPageTitle	OriginPageDate	OriginPageTitle
http://todomvc.com/examples/polymer/index.html	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Polymer • TodoMVC
http://todomvc.com/examples/knockoutjs/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/react/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	React • TodoMVC
http://todomvc.com/examples/react-backbone/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	React + Backbone • TodoMVC
http://todomvc.com/examples/firebase-angular/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Firebase &amp; AngularJS • TodoMVC
http://todomvc.com/examples/vanillajs/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	VanillaJS • TodoMVC
http://todomvc.com/examples/backbone_require/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Backbone.js + RequireJS • TodoMVC
http://todomvc.com/examples/vue/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Vue.js • TodoMVC
http://todomvc.com/examples/backbone/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Backbone.js • TodoMVC
http://todomvc.com/examples/mithril/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Mithril • TodoMVC
http://todomvc.com/examples/kendo/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Kendo UI • TodoMVC
http://todomvc.com/examples/knockoutjs_require/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/angular2/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Angular2 • TodoMVC
http://todomvc.com/examples/lavaca_require/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Lavaca • TodoMVC
http://todomvc.com/examples/sapui5/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	SAPUI5 • TodoMVC
http://todomvc.com/examples/aurelia/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Aurelia • TodoMVC
http://todomvc.com/examples/canjs/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	CanJS • TodoMVC
http://todomvc.com/examples/angular-dart/web/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	AngularDart • TodoMVC
http://todomvc.com/examples/spine/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	Spine.js • TodoMVC
http://todomvc.com/examples/canjs_require/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	CanJS + RequireJS • TodoMVC
http://todomvc.com/examples/duel/www/	http://todomvc.com/	ok	TodoMVC	02.09.2018  10:14:05	DUEL &bull; TodoMVC
